,f1,f2,f3,f4,f5,target
1,10,6,1,1,,1
2,10,7,2,2,1,1
3,10,7,1,2,2,1
7,10,6,2,1,,1
8,10,7,2,2,,1
11,10,7,2,2,1,1
17,10,7,2,1,,1
18,,,,,2,1
19,10,7,2,1,,1
21,,,,,1,2
23,8,7,2,1,,2
25,8,7,1,1,,2
26,9,7,1,1,,2
27,9,7,2,2,,2
28,8,7,2,2,,2
30,,,,,3,2
31,9,7,1,1,,2
32,9,7,2,2,,2
34,9,7,2,3,,2
35,9,6,2,2,,2
36,7,6,2,2,,2
37,9,6,2,2,,2
38,9,7,3,2,,2
39,,,,,2,2
40,8,5,2,2,,2
41,,,,,2,2
42,9,6,3,3,,2
44,9,7,2,2,,2
46,8,6,2,2,,2
48,9,7,2,2,,2
51,9,7,2,2,,2
52,6,4,3,2,,2
53,9,6,2,2,,2
54,8,5,3,3,,2
56,7,6,3,2,,2
57,9,6,2,2,,2
59,8,5,2,2,,2
62,8,5,2,2,,2
64,8,6,3,3,2,2
65,9,6,2,3,,2
66,9,6,2,2,,2
69,9,6,2,3,,2
70,10,6,3,3,,1
71,10,6,3,2,,1
73,8,6,3,2,,2
74,8,6,2,2,,2
77,7,5,2,2,,2
78,,,,,1,2
82,8,5,2,2,,2
87,7,5,2,2,,2
88,,,,,2,2
91,,,,,2,2
101,8,5,3,3,2,2
102,8,5,2,3,,2
103,8,5,3,3,3,2
104,8,4,3,3,,2
106,7,3,2,2,,2
107,9,4,3,3,,2
108,8,4,2,2,2,2
109,10,5,3,3,,2
110,9,6,3,3,,2
111,8,5,3,3,,2
115,8,4,2,2,,2
125,9,5,2,2,,2
128,9,4,3,3,,2
129,,,,,4,2
130,11,4,2,2,,2
131,8,4,3,2,,2
132,9,3,2,2,,2
133,8,3,3,2,,2
135,9,6,2,2,,2
136,9,5,2,2,,2
138,9,4,2,2,2,2
139,9,6,2,2,,2
140,9,4,3,3,,2
141,8,3,2,2,,2
142,8,3,2,3,,2
143,9,4,3,3,,2
144,9,4,2,2,,2
