,f1,f2,f3,f4,f5,target
1,12,1,1,1,2,1
2,,,,,2,1
4,11,1,1,1,2,1
6,,,,,2,1
7,11,1,1,1,,1
9,,,,,2,1
11,11,1,1,1,,1
12,11,1,2,1,,1
13,11,1,1,1,,1
14,11,1,1,1,,1
15,11,1,1,1,,1
16,11,1,1,1,,1
17,12,1,1,1,,1
21,,,,,2,2
23,10,1,1,1,,2
24,10,1,1,1,,2
25,12,1,1,1,,1
26,11,1,1,1,,1
28,11,1,1,1,,1
29,12,1,1,1,,1
33,11,1,1,1,,1
35,12,1,1,1,,1
36,10,1,1,1,,2
37,11,1,1,1,,1
38,11,1,1,1,,1
40,12,1,1,1,,1
41,11,1,1,1,,1
42,12,1,1,1,,1
43,10,1,1,1,,2
44,11,1,1,1,,1
45,11,1,1,1,,1
48,11,1,1,1,,1
51,10,1,1,1,2,2
58,9,1,1,1,,2
59,,,,,2,2
62,10,1,1,1,,2
63,,,,,3,2
65,8,1,1,1,,2
67,,,,,2,2
71,7,1,1,1,3,2
72,7,1,1,1,,2
73,,,,,3,2
75,10,1,2,2,,2
76,,,,,2,2
77,8,1,1,1,,2
81,9,1,2,1,,2
82,10,1,1,2,,2
83,10,1,1,1,,2
85,9,1,1,1,,2
86,10,1,1,2,,2
88,10,1,1,1,,2
93,9,1,2,1,,2
95,9,1,1,2,,2
96,10,1,2,1,3,2
99,,,,,2,2
100,10,1,1,1,,2
101,9,1,1,1,,2
102,10,1,1,2,,2
104,,,,,2,2
107,8,1,2,1,,2
108,6,1,2,1,3,2
109,9,1,2,2,,2
110,,,,,3,2
112,9,1,2,2,,2
116,9,1,1,1,,2
118,10,1,2,2,,2
125,9,1,1,1,,2
127,10,1,2,2,,2
129,10,1,2,2,,2
130,8,1,2,2,,2
131,10,1,2,2,,2
136,10,1,1,1,,2
137,10,1,2,2,,2
140,10,1,2,1,,2
143,8,1,2,2,,2
144,10,1,2,2,,2
145,8,1,2,2,,2
147,8,1,1,1,,2
148,10,1,1,1,,2
149,11,1,2,3,,2
150,10,1,1,1,,2
152,6,1,1,2,,2
153,10,1,2,2,,2
154,,,,,3,2
156,7,1,3,2,,2
157,9,1,2,2,,2
159,9,1,2,2,,2
161,5,1,2,2,,2
162,8,1,2,2,,2
163,10,1,2,2,,2
164,6,1,2,2,,2
165,8,1,2,2,,2
166,10,1,2,2,3,2
168,9,1,2,2,,2
169,9,1,2,2,,2
170,9,1,1,2,4,2
171,9,1,2,1,,2
172,,,,,2,2
173,10,1,1,2,,2
174,6,1,2,2,,2
175,10,1,2,2,,2
177,,,,,4,2
179,10,1,2,2,,2
181,10,1,3,2,,2
183,,,,,2,2
