,f1,f2,f3,f4,f5,target
1,12,3,1,1,,1
2,13,3,1,2,,1
3,,,,,1,1
5,13,3,1,1,2,1
5,13,3,1,1,1,1
6,13,3,1,2,,1
7,,,,,1,1
9,12,3,1,1,,1
10,,,,,1,1
11,12,3,1,1,,1
13,12,2,1,1,,1
14,13,3,1,1,,1
15,12,3,1,1,,1
16,12,3,1,1,,1
17,12,3,1,1,,1
24,11,3,1,1,,2
25,12,4,1,1,,1
26,12,4,1,1,,1
27,12,3,1,1,,1
28,12,4,1,2,,1
29,,,,,2,2
30,10,3,1,1,,2
33,11,3,1,1,,2
36,10,3,1,1,,2
38,8,3,1,1,,2
39,8,3,1,1,,2
40,11,3,1,1,,2
41,9,3,1,1,,2
47,11,3,1,1,,2
48,11,3,2,2,,2
49,11,4,2,2,,2
52,7,3,1,1,,2
53,10,3,2,2,,2
56,9,4,1,1,,2
57,11,3,2,2,,2
59,11,4,1,1,,2
62,11,3,1,1,,2
65,11,3,1,2,,2
66,12,3,2,2,,2
70,11,3,2,2,,2
73,9,3,1,2,,2
74,8,3,1,1,,2
76,9,3,1,1,,2
77,10,3,1,1,,2
78,10,3,2,2,,2
79,11,4,2,2,,2
80,,,,,2,2
82,10,3,2,2,,2
83,10,3,2,2,,2
85,11,3,1,1,,2
86,11,3,1,1,2,2
89,11,3,2,2,,2
90,11,3,2,2,,2
92,11,3,2,1,2,2
93,12,3,1,1,,2
94,9,3,3,3,,2
97,10,3,2,3,,2
98,11,3,2,2,,2
99,9,3,1,2,,2
100,10,3,2,2,,2
101,12,3,1,1,2,2
103,10,3,1,1,,2
106,8,2,1,1,,2
108,8,3,1,1,,2
109,10,3,2,1,,2
112,8,3,,,,2
