,f1,f2,f3,f4,f5,target
1,10,5,2,1,,1
2,12,5,2,2,2,1
3,,,,,2,1
5,,,,,2,1
6,12,4,2,2,,1
7,11,4,1,1,,1
8,,,,,1,1
9,11,4,1,1,,1
10,10,4,2,2,,1
12,11,3,1,1,,1
13,12,4,1,2,,1
14,10,3,1,2,,1
15,10,3,1,2,,1
16,11,4,2,2,2,1
18,12,4,1,1,,1
19,10,3,1,2,,1
22,11,4,1,1,2,1
24,10,3,2,2,,1
25,11,4,2,1,,1
26,11,3,2,2,,1
27,11,4,1,1,,1
28,11,4,1,1,,1
31,10,3,1,2,,1
33,10,3,2,2,,1
34,10,3,2,2,,1
35,10,3,1,1,,1
36,10,4,2,2,,1
37,11,3,2,2,,1
39,10,3,1,1,,1
40,11,4,2,2,,1
41,10,4,1,1,,1
43,10,3,1,1,,1
45,10,3,2,2,,1
47,10,3,2,2,,1
50,,,,,1,1
51,10,3,2,2,,1
54,10,3,1,1,,1
57,10,3,2,2,,1
61,10,3,1,1,,1
62,10,3,2,1,3,2
64,10,3,2,2,,2
65,10,3,1,1,,1
67,11,4,2,2,,1
69,9,3,2,2,,2
70,10,3,1,1,,1
72,10,3,2,2,,1
73,10,3,1,1,,1
75,9,3,1,1,,1
79,11,4,2,2,,1
80,10,3,2,2,,1
81,11,3,1,2,,1
82,10,3,2,1,,1
83,10,3,1,2,,1
84,10,3,1,1,,1
85,10,3,2,2,,1
86,9,3,1,2,,1
87,11,3,1,2,,1
89,8,2,2,1,,2
92,9,3,2,2,,2
93,10,2,1,2,,1
95,9,3,2,1,,2
96,,,,,2,2
98,9,3,2,2,,2
99,10,3,2,2,,1
100,10,3,1,1,,1
101,9,2,2,2,,1
102,9,2,2,2,,2
103,9,3,1,1,,2
104,9,2,2,1,,1
106,10,2,2,2,,1
107,10,3,2,2,,1
108,9,3,2,2,,1
111,10,3,1,2,,1
112,10,3,2,2,,1
113,10,3,1,2,2,1
114,10,3,1,2,,1
115,9,3,1,2,,2
116,9,2,1,1,,1
117,10,3,2,2,1,1
118,9,2,2,2,,2
119,10,3,1,1,,1
121,9,3,1,1,,2
122,10,3,2,1,,1
124,9,2,1,1,,2
125,10,3,2,2,2,1
129,10,3,1,1,,1
131,9,2,1,1,,2
132,9,2,2,2,,2
133,9,2,1,2,,2
134,9,3,1,2,3,2
136,9,2,2,1,,2
137,9,3,1,2,,2
139,9,2,2,2,3,2
142,9,3,2,2,,2
144,9,3,2,2,,2
146,9,3,2,2,,2
147,9,3,2,2,,2
149,9,2,1,2,,2
150,9,3,2,2,,2
151,9,2,1,1,,2
152,9,3,1,2,,2
153,9,2,2,2,,2
156,10,2,1,1,,2
157,9,2,1,2,,2
158,9,2,1,2,,1
160,9,3,1,1,,2
161,9,3,2,2,,2
165,9,2,2,3,,2
166,9,2,3,3,,2
