,f1,f2,f3,f4,f5,target
1,10,3,2,2,,1
2,10,2,2,2,2,1
4,,,,,2,1
5,10,3,1,1,,1
6,10,3,2,2,,1
7,10,3,3,3,,1
10,10,3,2,2,2,1
11,10,3,2,2,2,1
12,10,3,2,2,,1
13,10,4,1,2,2,1
16,,,,,3,2
17,8,2,2,2,,2
18,,,,,3,2
20,9,3,2,3,3,2
21,9,2,2,3,,2
23,9,3,2,1,,2
26,9,3,2,2,4,2
30,8,3,3,3,,2
32,9,3,2,2,,2
33,9,3,2,2,,2
34,9,2,2,2,3,2
35,8,3,3,3,,2
36,9,4,3,3,,2
37,10,3,3,3,,2
38,9,3,3,3,,2
40,,,,,3,2
41,,,,,3,2
43,,,,,3,2
45,,,,,3,2
56,9,2,2,2,,2
58,9,2,3,3,4,2
59,10,2,2,1,3,2
60,10,2,2,2,,2
61,9,2,3,3,,2
62,9,3,2,2,2,2
68,8,3,2,2,,2
70,8,2,2,2,,2
71,10,2,1,1,,2
73,9,3,2,2,,2
74,10,3,2,2,,2
75,,,,,,2
77,10,2,3,3,,2
78,,,,,3,2
79,9,3,2,3,,2
82,8,2,3,3,,2
84,7,2,2,2,,2
92,7,2,3,3,,2
94,6,1,2,3,,2
95,9,2,3,3,,2
97,6,1,3,3,,2
100,7,2,3,3,,2
104,6,2,3,3,,2
105,6,2,3,2,,2
106,10,2,3,3,,2
108,9,2,3,3,,2
109,8,2,3,3,,2
110,9,2,3,3,,2
111,6,2,3,3,,2
115,7,2,2,2,4,2
116,7,2,2,2,,2
