,f1,f2,f3,f4,f5,target
1,10,5,1,1,,1
3,,,,,2,1
5,,,,,2,1
6,9,4,1,1,,1
7,,,,,2,1
8,9,4,1,1,,1
9,,,,,2,1
11,10,5,1,1,2,1
12,9,5,1,1,,1
13,,,,,2,1
15,9,5,1,1,,1
16,10,5,1,1,,1
17,9,5,1,1,,1
21,9,4,2,2,,1
22,8,4,1,1,,2
23,9,5,2,2,,1
24,9,5,2,2,,1
25,9,5,2,1,,1
26,2,5,1,2,,1
27,2,5,2,1,3,1
29,9,4,2,2,,1
30,8,4,2,2,,2
31,9,5,1,1,,1
32,9,3,2,1,,2
33,8,4,2,2,2,2
34,8,4,2,2,,2
36,,,,,3,2
37,8,3,2,1,,2
38,8,4,2,2,,2
40,8,4,2,2,,2
42,8,4,2,2,,2
47,8,4,2,1,,2
48,7,3,2,2,,2
49,7,3,2,1,,2
52,8,4,2,2,,2
62,8,3,2,2,,2
63,8,2,3,3,,2
65,8,3,2,1,,2
67,8,3,2,2,4,2
67,8,3,2,2,4,2
68,8,3,2,3,,2
69,8,2,2,2,,2
70,,,,,4,2
71,8,3,2,2,3,2
72,8,2,2,2,,2
73,8,2,2,2,3,2
75,8,3,2,2,,2
77,,,,,3,2
78,,,,,4,2
80,9,3,2,2,,2
81,8,2,2,2,3,2
83,,,,,3,2
85,8,3,2,2,,2
87,8,3,2,2,,2
92,9,3,2,2,,2
97,10,3,1,1,,1
99,7,2,3,3,,2
102,8,3,1,1,,2
103,9,3,2,1,,1
106,8,3,2,2,,2
107,7,3,2,2,3,2
110,8,2,1,1,,2
111,,,,,3,2
112,9,3,2,2,3,2
113,9,3,1,2,3,2
119,8,3,2,2,,2
120,8,3,2,2,,2
121,9,3,2,2,3,2
123,7,2,2,2,,2
125,9,3,2,2,,2
126,,,,,,2
127,9,4,1,1,,1
130,8,3,1,1,,2
131,8,2,2,1,,2
133,8,2,2,2,,2
134,8,1,2,2,,2
136,8,2,2,2,,2
138,9,2,1,2,,2
141,6,1,2,2,,2
143,8,1,2,2,,2
144,,,,,3,2
146,8,1,2,2,,2
147,8,2,2,3,,2
148,8,2,2,2,,2
149,8,2,3,3,,2
150,8,2,2,2,,2
151,,,,,4,2
152,,,,,3,2
153,,,,,,2
154,8,2,2,3,,2
155,8,2,2,2,4,2
156,8,2,2,2,,2
159,7,1,1,2,,2
160,8,1,2,2,,2
161,8,1,2,3,4,2
163,8,1,2,2,,2
164,8,2,2,2,3,2
165,8,2,2,2,3,2
166,,,,,3,2
166,,,,,4,2
167,8,2,2,1,,2
168,7,2,2,2,,2
169,,,,,2,2
173,8,2,3,3,,2
175,8,2,3,3,,2
176,7,2,3,3,6,2
177,8,2,3,3,3,2
178,7,2,3,3,,2
179,7,2,3,3,,2
182,7,2,3,3,,2
