,f1,f2,f3,f4,f5,target
1,10,2,1,2,,1
2,10,2,1,2,,1
4,11,2,1,1,2,1
5,11,2,1,1,,1
6,10,2,2,1,2,1
7,11,2,1,1,,1
8,10,2,1,1,1,1
9,11,2,1,1,,1
10,11,2,2,1,,1
11,,,,,2,1
12,10,2,1,1,1,1
13,10,2,1,1,,1
14,10,2,1,1,,1
15,10,2,2,1,,1
19,10,2,2,2,,1
21,10,2,1,2,,1
22,,,,,2,1
24,10,2,1,1,,1
25,10,2,1,2,,1
27,10,2,2,2,,1
29,10,2,2,1,,1
30,10,2,1,1,,1
32,10,2,2,1,,1
35,10,2,1,1,,1
39,10,2,1,1,,1
41,10,2,1,1,,1
42,10,2,1,1,,1
43,,,,,2,1
44,10,2,2,2,,1
45,10,2,2,1,,1
46,,,,,2,1
47,10,2,2,2,,1
49,10,2,1,1,,1
51,10,2,1,2,,1
52,10,2,2,1,,1
54,,,,,2,1
56,10,2,1,1,2,1
58,10,2,1,1,2,1
60,9,2,2,2,,3
61,9,2,1,1,,2
63,9,2,1,1,,2
64,10,2,1,1,,1
65,9,2,2,2,,2
66,9,2,2,2,,2
67,9,2,1,1,,2
68,9,2,1,1,,2
70,9,1,1,1,,2
71,10,2,1,1,,1
72,9,2,1,2,,2
73,10,2,2,2,,1
74,10,2,1,1,,1
75,9,2,1,1,,2
76,10,2,1,1,,2
77,10,2,1,2,,2
78,10,2,1,1,2,2
79,9,2,1,1,,2
81,9,1,1,1,,2
82,9,1,1,1,,2
83,9,2,1,1,,2
85,9,1,1,2,,2
86,9,2,1,2,2,2
89,9,2,2,2,,2
92,9,2,1,1,,2
93,11,2,2,1,,1
95,9,2,2,2,,2
96,10,2,2,2,,2
98,10,1,2,2,2,1
100,10,1,1,1,,1
101,10,1,2,2,,1
102,10,1,1,1,,1
104,9,1,2,2,,2
111,9,1,2,1,,2
113,9,1,2,2,,2
115,9,1,2,1,,2
117,9,1,1,1,,2
119,8,1,1,1,,2
120,9,1,1,2,,2
122,8,1,2,2,,2
125,9,1,2,2,,2
126,9,1,2,2,,2
127,9,1,1,1,,2
129,10,1,2,2,,1
130,10,1,2,2,,1
131,8,1,2,2,,2
133,9,1,1,1,,2
139,10,1,1,1,,1
140,9,1,2,1,,2
141,10,1,2,1,,1
142,10,1,1,2,,1
143,9,1,2,2,,2
145,9,1,2,2,,2
147,8,1,1,1,,2
148,9,1,2,2,,2
150,9,1,2,2,,2
153,9,1,2,1,,2
154,9,1,2,2,,2
156,8,1,2,2,,2
158,9,1,1,1,,2
160,8,1,2,1,,2
161,8,1,2,2,,2
163,6,1,2,2,,2
164,8,1,2,2,,2
165,,,,,2,2
166,9,1,2,2,,2
167,9,1,2,1,,2
169,9,1,1,2,,2
171,9,1,2,2,,2
172,9,1,1,2,,2
173,10,2,1,1,,1
175,10,2,2,2,,1
176,10,2,2,2,,1
177,10,2,2,2,2,1
179,10,2,1,2,,1
181,8,1,2,2,,2
189,7,1,1,1,,2
190,9,1,2,3,,2
192,11,1,1,1,,1
193,11,2,1,1,,1
194,11,2,1,1,,1
195,10,2,2,2,,1
197,9,2,2,2,,2
