,f1,f2,f3,f4,f5,target
1,9,4,2,2,,1
2,10,4,2,2,,1
3,7,4,1,1,,1
4,11,3,2,2,,1
5,8,4,2,1,2,1
6,7,4,2,1,,1
7,9,3,2,1,2,1
8,7,3,2,1,,1
9,8,3,1,1,,1
10,8,3,2,1,2,1
11,9,3,1,1,,1
12,7,3,2,1,,1
13,7,3,1,1,,1
14,9,3,1,2,,1
15,8,3,2,2,,1
16,7,3,2,2,,1
17,10,4,1,1,2,1
18,7,4,1,1,,1
19,7,4,1,1,,1
20,7,3,1,2,,1
21,7,3,2,2,,1
22,9,3,1,2,,1
23,8,4,2,2,,1
24,9,3,2,2,2,1
25,9,3,2,2,,1
26,7,3,1,2,2,1
27,8,3,2,2,,1
28,8,3,2,2,,1
29,9,4,1,1,,1
30,9,3,2,2,,1
31,8,3,1,2,,1
32,10,3,2,1,,1
33,8,2,2,2,,1
34,8,3,1,1,,1
35,8,4,2,2,,1
36,10,4,2,2,,1
37,9,4,2,2,2,1
38,9,3,2,2,2,1
39,8,3,2,2,,1
40,8,3,3,2,,1
41,7,3,2,2,4,1
42,5,3,2,2,,2
43,5,3,2,3,,2
44,5,2,2,2,,2
45,8,3,3,3,3,1
46,9,3,2,2,,1
47,10,4,2,1,,1
48,10,4,1,1,,1
49,10,3,2,2,,1
50,10,4,3,3,,1
51,10,3,1,1,,1
52,8,3,2,2,,1
53,7,4,2,1,,1
54,9,2,2,2,,1
55,9,4,2,3,,1
56,5,4,1,1,,2
57,10,2,1,1,,1
58,7,3,2,2,,1
59,8,4,2,2,,1
60,8,3,2,2,,1
61,7,4,2,2,,1
62,10,3,3,3,,1
63,6,3,2,2,,2
64,6,3,1,2,,2
65,5,2,1,2,,2
66,6,2,2,2,3,2
67,6,4,1,2,,2
68,5,4,3,3,,2
69,6,2,2,2,,2
70,8,3,2,2,,1
71,8,4,3,3,,1
72,5,4,3,3,3,2
73,5,4,3,3,,2
74,6,3,2,2,,2
75,7,2,2,2,,1
76,8,3,1,1,,1
77,9,3,2,2,,1
78,6,3,2,2,,2
79,7,3,2,2,,1
80,7,4,1,2,,2
81,8,3,2,2,,2
82,4,3,2,2,,2
83,6,2,2,2,,2
84,8,3,2,2,,1
85,9,3,1,2,,1
86,6,3,2,3,,2
87,6,3,3,3,,2
88,6,3,3,3,,2
89,6,2,1,1,,2
90,6,2,1,2,,2
91,6,2,2,3,,2
92,9,3,3,3,,1
93,8,2,3,3,,1
98,,,,,3,2
101,,,,,6,2
111,,,,,6,2
133,,,,,,2
134,,,,,3,2
141,,,,,3,2
