,f1,f2,f3,f4,f5,target
1,11,7,1,1,,1
2,13,6,1,1,,1
3,11,6,1,2,,1
4,13,5,2,2,,1
5,11,5,2,2,2,1
6,12,5,2,1,,1
7,,,,,2,1
8,12,4,1,1,,1
9,11,6,1,1,2,1
10,13,6,1,2,,1
11,11,5,1,1,2,1
12,12,5,2,1,,1
13,12,5,2,1,,1
14,13,5,1,1,,1
15,11,5,2,1,,1
16,12,5,1,1,,1
17,12,6,2,1,,1
19,10,5,2,1,2,1
20,11,6,1,1,,1
24,12,6,1,2,,1
25,12,5,2,1,,1
27,12,5,1,1,,1
28,11,5,2,2,,1
29,11,5,2,1,,1
30,12,4,2,2,,1
31,12,5,2,1,,1
32,13,5,2,2,,1
33,12,5,1,1,,1
36,12,6,2,2,,1
40,10,4,1,1,,2
41,10,5,1,2,,2
42,11,5,1,2,,1
46,12,3,2,3,,1
49,10,4,2,2,,2
53,13,4,2,2,,1
54,10,4,2,2,,2
57,8,3,1,2,,2
62,9,5,2,2,,2
64,9,4,2,2,,2
66,9,4,2,2,2,2
67,10,4,2,2,,2
71,10,4,3,3,,2
72,10,5,3,2,,2
74,10,4,2,2,,2
75,9,5,3,2,,2
76,9,4,2,2,,2
77,9,4,2,2,,2
78,10,3,2,2,,2
81,9,4,2,2,,2
82,,,,,2,2
84,10,4,2,2,,2
86,10,4,2,2,,2
87,11,3,2,2,,2
89,10,4,2,2,,2
90,10,3,3,3,,2
91,9,3,3,3,,2
92,9,3,2,2,,2
93,10,4,3,3,,2
94,10,5,2,3,,2
95,10,3,3,3,,2
98,10,5,2,2,,2
100,9,3,2,2,,2
101,10,4,2,3,,2
102,10,4,2,2,,2
103,9,4,2,2,,2
107,8,3,2,3,,2
109,8,5,3,2,,2
110,10,4,2,2,,2
111,7,4,2,2,,2
113,11,4,2,2,,2
114,8,4,2,3,,2
116,10,4,3,3,,2
117,9,4,2,3,,2
118,10,5,3,3,,2
121,9,3,2,3,,2
122,9,3,3,3,,2
124,9,3,2,2,,2
127,9,3,3,2,,2
128,8,3,2,2,,2
132,9,4,2,2,,2
134,8,2,3,3,,2
135,9,4,3,3,,2
139,10,4,2,3,,2
140,10,4,3,3,,2
141,10,4,3,3,,2
142,10,5,2,2,,2
143,10,4,3,3,,2
144,8,4,3,3,,2
145,9,4,3,3,,2
146,10,4,3,3,,2
148,9,3,3,2,,2
149,10,3,3,3,,2
150,10,4,3,3,,2
151,10,5,3,2,,2
152,8,3,3,3,,2
