,f1,f2,f3,f4,f5,target
1,,,,,2,1
2,,,,,2,1
3,10,2,2,1,,1
4,10,2,1,2,2,1
6,10,2,1,1,,1
8,10,2,1,2,,1
9,11,1,1,1,1,1
11,,,,,2,2
13,,,,,2,2
14,7,1,2,1,2,2
15,9,1,2,2,2,2
18,9,2,1,1,,2
22,6,1,1,1,,2
23,6,1,1,1,,2
25,8,2,1,1,,2
26,5,1,2,1,,2
29,6,2,1,1,,2
30,6,1,2,1,,2
31,6,2,1,2,,2
36,4,1,1,1,,2
37,7,1,1,1,,2
38,8,1,1,2,,2
39,9,2,1,2,,2
40,8,1,2,2,,2
41,,,,,3,2
42,9,2,1,1,,2
43,8,2,2,2,,2
45,6,1,1,1,,2
46,6,1,2,1,,2
47,7,2,2,1,,2
50,5,2,2,2,,2
51,6,1,2,2,,2
53,4,1,2,2,,2
54,7,2,2,2,3,2
57,9,2,2,2,,2
58,7,1,2,2,,2
59,5,2,2,2,,2
62,6,1,1,1,,2
64,4,1,2,2,,2
65,6,1,3,3,,2
66,8,2,1,2,,2
67,7,1,3,2,3,2
68,8,2,2,3,,2
69,10,2,2,2,,1
70,9,2,2,2,,2
71,5,1,2,2,,2
72,9,2,2,2,3,2
75,6,1,3,3,,2
76,7,1,2,3,5,2
77,7,2,3,3,,2
78,7,1,2,2,,2
79,6,2,2,3,,2
80,9,3,2,3,,2
81,8,2,2,3,,2
82,9,2,2,2,,2
85,7,2,2,3,4,2
86,7,2,2,2,,2
87,6,2,1,1,,2
88,8,1,2,3,,2
89,9,1,2,2,7,2
90,8,2,3,3,,2
91,8,2,2,2,,2
94,8,2,3,3,,2
95,7,2,3,3,,2
96,,,,,3,2
97,8,2,1,2,,2
100,6,2,3,3,,2
101,7,1,3,3,,2
102,7,1,2,2,,2
103,5,2,3,2,,2
