,f1,f2,f3,f4,f5,target
2,,,,,2,1
3,10,5,1,2,,1
4,10,5,1,1,,1
5,9,3,1,2,2,1
6,10,4,1,2,,2
7,10,4,1,2,,1
8,9,3,1,1,,2
9,11,4,2,2,,2
11,8,3,1,2,,2
12,10,3,2,2,,2
13,10,3,1,2,,2
14,9,3,1,1,,2
15,10,4,1,2,,2
17,9,3,1,1,,2
18,9,3,1,2,,2
22,10,3,1,2,,2
23,9,3,1,2,,2
24,,,,,3,2
26,8,3,1,2,,2
28,9,3,1,2,2,2
30,9,2,1,3,,2
31,8,2,1,2,,2
32,9,2,1,2,,2
33,9,3,1,2,,2
37,9,2,1,2,,2
38,8,2,1,2,,2
39,10,3,1,2,,2
41,9,3,1,2,,2
42,9,2,1,2,,2
43,9,3,1,3,,2
45,8,3,2,2,,2
47,7,2,1,1,,2
50,6,2,2,2,3,2
52,6,1,1,2,,2
57,8,2,1,2,,2
62,7,2,2,2,,2
63,9,2,1,2,,2
65,8,1,1,2,,2
68,8,2,1,2,,2
70,7,2,1,2,,2
73,9,2,2,1,,2
74,8,2,1,2,,2
75,9,2,1,2,,2
76,8,2,1,3,,2
79,7,2,1,2,,2
81,8,2,1,2,,2
88,6,1,1,2,,2
89,7,2,1,2,,2
91,7,2,1,2,,2
92,6,2,2,1,,2
93,7,1,2,1,,2
96,8,1,1,3,,2
99,8,2,1,2,,2
103,9,2,1,2,5,2
106,7,2,1,2,,2
107,6,2,1,2,3,2
108,8,2,1,3,,2
117,7,2,1,2,,2
118,8,1,1,2,3,2
119,9,2,1,2,,2
122,8,1,1,2,,2
123,7,2,1,2,,2
124,7,2,2,2,,2
125,9,1,1,1,,2
126,7,2,1,2,,2
128,7,1,2,2,,2
129,6,1,1,2,,2
130,9,2,1,2,,2
131,7,1,1,2,,2
132,6,2,1,2,,2
133,9,2,2,3,3,2
134,8,1,1,3,,2
