,f1,f2,f3,f4,f5,target
2,10,7,2,1,1,1
3,10,7,1,2,1,1
5,,,,,2,1
6,11,7,1,2,,1
7,10,7,1,2,,1
8,10,7,1,1,,1
9,9,7,1,2,,1
10,10,7,1,2,,1
12,10,7,2,2,,1
13,10,7,1,1,,1
14,10,7,1,2,,1
17,11,7,1,1,,1
21,11,7,1,2,,1
23,,,,,2,1
25,10,7,1,2,,1
26,10,7,1,2,2,1
27,10,7,1,2,,1
28,10,7,1,2,,1
29,9,7,2,2,,2
30,9,7,1,1,2,2
31,9,7,1,2,,2
32,8,5,1,2,,2
33,8,7,2,2,,2
34,9,7,1,2,,2
35,9,6,2,2,2,2
36,8,4,1,2,,2
37,9,6,1,2,,2
38,9,6,1,2,3,2
41,10,7,2,2,,1
42,10,7,1,1,,1
43,9,6,2,1,,2
44,9,6,1,2,2,2
45,10,5,1,2,,1
46,9,6,1,2,,2
47,10,7,1,2,,1
48,9,7,2,1,,2
49,10,7,1,2,,1
50,9,7,2,2,,2
51,8,6,1,1,,2
53,9,6,2,2,,2
54,8,6,1,2,,2
55,8,7,1,2,,2
56,10,6,1,2,,1
58,6,4,2,2,,2
59,9,7,1,2,,2
60,9,7,1,1,,2
61,10,7,1,1,,1
62,9,7,2,2,,2
63,8,6,1,2,,2
66,9,5,2,2,,2
67,8,5,1,2,,2
68,8,5,1,2,,2
69,9,6,1,2,,2
70,9,6,2,2,,2
71,8,6,2,2,,2
72,9,6,1,2,,2
73,8,6,2,1,,2
74,9,6,1,2,,2
76,8,6,2,2,,2
77,9,7,1,2,,2
78,10,6,1,2,,1
79,8,6,1,1,,2
80,9,6,2,2,,2
81,10,7,1,2,,2
83,7,5,1,2,,2
84,9,5,2,2,,2
85,9,5,1,2,,2
87,8,7,1,2,,2
90,8,4,1,2,,2
91,9,6,3,1,,2
92,9,7,1,3,,2
93,9,6,1,2,2,2
95,9,7,2,2,,2
97,9,6,3,2,,2
98,9,5,1,2,2,2
99,9,6,1,2,,2
100,8,4,1,2,,2
103,7,4,1,2,,2
105,9,7,1,2,,2
106,9,4,1,2,,2
107,6,4,1,2,,2
108,7,4,2,2,,2
111,8,4,1,2,,2
113,8,6,2,2,,2
114,9,6,1,3,,2
115,9,6,1,2,,2
116,8,6,2,2,,2
117,9,6,2,2,,2
118,9,6,1,2,,2
119,9,6,1,2,,2
120,9,7,2,3,,2
123,8,5,1,2,,2
126,9,6,1,2,,2
127,9,6,1,3,,2
128,8,6,1,2,,2
130,7,5,1,3,,2
131,9,3,2,1,,2
132,8,4,1,2,,2
133,8,4,2,2,,2
134,9,6,2,2,,2
135,9,6,1,2,,2
136,9,7,1,2,3,2
137,9,7,1,2,,2
138,8,7,1,2,3,2
139,9,7,2,2,,2
140,9,6,2,2,,2
141,9,5,2,3,,2
143,9,5,2,2,,2
144,9,5,1,2,,2
146,9,6,2,2,2,2
147,7,6,1,3,,2
147,6,2,1,2,,2
149,8,2,2,2,,2
151,8,4,1,2,,2
152,8,5,2,2,,2
153,8,3,1,3,,2
154,9,3,1,2,,2
155,8,3,1,1,,2
156,8,5,1,2,,2
157,9,6,1,2,,2
158,9,5,1,2,,2
159,9,7,1,2,,2
160,8,6,2,2,,2
161,9,7,2,1,,2
163,7,5,1,2,,2
164,8,6,1,3,,2
