,f1,f2,f3,f4,f5,target
2,11,7,1,1,,1
5,10,6,1,1,,1
6,11,7,2,2,,1
7,10,7,2,1,2,1
8,10,7,1,1,,1
9,10,6,1,1,6,1
11,11,6,1,1,2,1
14,10,6,1,1,,1
15,10,6,2,1,2,1
16,11,7,1,1,,1
17,10,6,1,1,2,1
18,11,7,1,1,,1
19,10,6,1,1,2,1
20,11,7,1,2,,1
21,11,7,1,2,2,1
23,10,6,1,1,2,2
24,11,7,1,1,,2
27,,,,,2,2
35,10,6,1,1,,2
36,9,6,1,1,3,2
37,9,5,1,1,2,2
38,11,7,2,2,,1
39,11,6,1,2,,1
40,,,,,3,2
42,10,6,1,1,,1
43,10,6,1,1,,1
44,10,7,2,2,,1
46,12,7,2,2,,1
54,8,5,1,2,,2
57,9,5,2,2,,2
61,9,6,2,2,,2
62,9,5,2,2,,2
67,9,6,1,2,,2
70,10,6,1,1,,1
71,11,7,2,2,,1
80,5,3,2,2,,2
81,7,4,1,1,,2
82,8,5,2,2,,2
85,9,6,2,2,,2
86,7,5,2,2,,2
88,9,6,2,2,,2
89,9,5,2,2,,2
90,9,6,1,2,,2
91,8,4,2,1,,2
92,9,6,2,2,,2
97,9,5,2,2,,2
98,9,5,2,2,,2
99,9,5,1,1,,2
100,9,6,2,2,,2
101,9,5,1,1,,2
102,9,5,2,2,,2
108,9,5,2,2,,2
109,9,4,2,3,,2
112,9,5,2,2,,2
113,8,6,2,2,,2
114,9,6,2,3,,2
115,8,6,2,2,,2
118,6,4,1,1,,2
119,8,4,2,2,,2
120,9,6,1,2,,2
121,9,5,2,1,,2
122,8,6,2,2,,2
123,9,5,3,3,,2
124,9,6,2,1,,2
125,9,7,1,1,,2
128,6,4,1,1,,2
129,9,5,1,1,,2
130,6,4,1,1,,2
131,9,5,2,1,,2
132,8,5,2,2,,2
133,8,5,1,1,,2
134,9,5,1,1,,2
135,7,5,2,3,,2
136,9,4,1,1,,1
