,f1,f2,f3,f4,f5,target
1,11,2,2,1,,1
2,13,3,2,2,,1
5,12,3,2,1,2,1
7,,,,,1,1
10,11,3,1,1,2,1
11,12,3,1,1,,1
12,12,3,1,1,,1
13,11,3,1,1,,1
14,12,3,1,1,,1
15,12,3,2,2,,1
18,12,2,1,1,,1
19,11,2,2,2,2,1
20,11,3,2,2,,1
21,,,,,2,1
22,11,3,1,1,,1
23,12,3,1,1,,1
24,,,,,1,1
25,11,3,1,1,,1
27,11,2,1,1,,1
28,11,3,1,1,,1
29,11,3,1,1,,1
30,11,3,1,2,,1
32,11,3,2,2,,1
34,11,2,2,2,,1
35,11,2,2,2,,1
36,12,2,2,1,,1
39,12,3,1,1,,1
40,11,3,2,2,,1
43,11,3,1,1,,1
46,12,2,1,1,,1
47,11,3,1,2,,1
48,12,3,1,2,,1
50,,,,,2,2
51,7,2,2,2,,2
52,10,3,2,2,,2
54,,,,,2,2
56,8,1,2,2,,2
57,11,2,1,2,,1
59,12,2,2,2,,1
60,11,2,1,1,,1
61,11,2,2,2,,1
62,10,3,1,2,,1
63,11,3,1,2,,1
64,12,3,2,3,,1
65,7,1,1,1,,2
66,12,2,2,2,,1
67,11,2,2,2,,1
68,11,1,2,2,,1
69,11,2,1,1,,1
70,11,1,1,1,,1
73,11,2,2,1,,1
75,10,2,1,1,,2
76,10,2,2,1,,2
77,8,2,2,2,,2
78,10,1,2,2,,2
80,11,2,2,2,,1
81,10,2,1,2,,2
82,10,3,1,2,,2
86,11,2,1,2,,1
87,11,3,2,2,,1
88,11,3,2,2,,1
89,10,3,1,1,,2
91,10,3,3,2,,2
95,9,2,2,2,,2
96,9,2,2,1,,2
98,9,2,2,2,,2
99,12,2,2,2,,1
102,10,2,3,2,,2
103,11,2,1,1,,1
104,12,3,2,2,,1
105,11,3,3,3,,1
106,11,3,2,2,,1
107,10,3,2,2,,2
108,11,3,2,2,,2
109,11,3,2,2,,2
110,11,3,1,1,,2
111,11,3,2,2,,2
113,11,2,2,2,,2
114,11,2,2,2,,2
115,11,2,1,1,,2
116,11,3,2,2,,2
117,10,2,2,2,,2
118,11,2,2,2,,2
119,10,3,2,2,,2
120,11,3,2,2,,1
121,11,3,2,2,,1
122,10,4,2,2,,2
124,11,2,2,2,,1
125,10,2,2,2,,1
126,11,3,2,2,,1
127,11,3,1,1,,1
128,12,3,2,2,,1
129,11,3,2,2,,1
130,12,3,1,1,,1
131,11,3,2,1,,1
132,11,3,2,1,,1
133,11,3,1,2,,1
134,9,2,2,2,,2
135,11,2,2,1,,2
137,11,3,2,2,,2
138,11,3,2,1,,2
139,11,3,2,2,,2
140,10,4,1,1,,2
141,10,4,1,1,,2
142,11,3,2,2,,2
143,11,3,3,2,,2
144,10,3,1,1,,2
145,10,3,2,2,,2
147,10,3,2,1,,2
150,7,1,2,2,,2
151,11,2,1,1,,1
153,11,3,3,2,,1
154,11,3,2,2,,1
155,11,3,2,2,,1
156,12,3,2,2,,1
157,11,4,2,2,,1
158,11,4,3,3,,1
159,12,4,1,2,,1
161,10,1,2,2,,2
163,10,1,1,1,,2
166,8,2,3,2,,2
167,10,1,3,2,,2
170,10,1,3,2,,2
174,9,2,1,2,,2
175,8,2,2,2,,2
176,10,2,3,3,,2
178,10,3,2,2,,2
179,11,3,3,3,,2
180,10,2,2,2,,2
183,9,2,2,3,,2
188,10,3,2,2,,2
189,11,3,2,3,,2
190,8,2,3,2,,2
191,10,2,3,1,,2
192,11,2,2,2,,2
193,9,2,3,3,,2
194,11,2,2,2,,2
197,9,1,2,2,,2
199,10,2,2,2,,2
