,f1,f2,f3,f4,f5,target
2,11,5,2,3,1,1
4,11,6,2,2,,1
5,10,5,3,3,,1
6,11,5,2,2,,1
7,10,5,2,3,,1
10,10,4,2,2,,1
11,11,4,2,2,,1
13,10,4,2,2,,1
14,10,4,2,2,,1
15,10,4,2,2,,1
19,11,4,2,2,,1
20,11,5,2,2,,1
22,10,3,2,2,2,1
25,10,4,2,2,,1
27,,,,,2,1
28,10,5,2,2,2,1
29,10,4,2,2,,1
31,10,4,2,2,,1
33,10,5,2,2,2,1
34,10,4,2,2,,1
36,10,4,2,2,2,1
37,10,5,2,2,,1
40,10,5,1,2,,1
44,10,4,1,2,,1
45,9,4,2,2,,1
47,10,3,3,3,,1
50,10,4,2,2,,1
52,9,5,2,2,,2
54,9,5,3,2,,2
56,9,4,3,3,,2
57,9,4,2,2,,2
58,9,4,2,3,,2
60,8,3,2,2,,2
61,9,5,2,2,,2
62,10,4,3,2,,2
64,8,2,2,2,,2
65,9,4,2,2,,2
66,9,4,2,3,,2
69,9,4,2,2,,2
71,9,4,2,2,3,2
72,9,4,2,2,,2
75,6,2,2,2,,2
76,9,3,2,3,,2
77,9,3,2,2,,2
78,8,3,2,2,,2
79,8,5,2,1,,2
80,9,4,2,3,,2
83,6,3,2,3,,2
84,9,4,3,3,,2
85,10,4,3,2,,2
86,9,5,3,3,,2
87,11,4,3,3,,2
88,9,4,2,2,,2
90,9,3,2,2,,2
98,6,2,2,2,,2
104,6,2,3,3,,2
106,7,3,2,3,,2
108,7,1,3,3,,2
109,9,4,2,2,,2
111,8,5,3,3,,2
112,8,3,3,3,,2
113,9,4,2,3,,2
116,8,3,3,2,,2
118,7,2,2,2,,2
124,5,2,2,3,,2
125,8,4,3,2,3,2
126,8,4,3,2,,2
129,9,4,3,3,,2
135,6,3,3,2,,2
136,7,2,3,3,,2
139,8,4,3,1,,2
140,7,3,3,3,,2
140,7,3,3,3,4,2
141,8,2,3,3,,2
142,10,4,3,3,,2
143,9,4,3,3,,2
144,9,4,3,3,4,2
145,9,4,3,3,,2
146,9,4,3,3,,2
147,,,,,3,2
150,9,4,3,3,,2
151,9,4,3,3,4,2
152,7,4,3,3,,2
