,f1,f2,f3,f4,f5,target
1,11,5,1,1,2,1
2,11,4,2,2,2,1
3,10,4,1,1,,1
6,12,4,1,2,,1
8,11,3,2,2,,1
9,11,4,1,1,,1
10,12,3,1,1,,1
12,11,3,1,1,,1
13,12,4,1,1,,1
14,13,4,1,1,,1
15,9,3,2,2,,2
17,8,2,2,2,2,2
18,9,3,2,2,,2
19,10,3,1,1,,1
20,11,4,2,2,,1
21,10,5,1,2,,1
22,10,5,2,2,2,1
23,9,3,2,2,,2
24,10,3,1,1,,1
25,10,3,1,1,,1
26,,,,,2,2
28,12,3,1,1,,1
30,11,3,2,2,,1
31,11,4,2,1,,1
32,13,5,2,2,,1
33,11,7,1,1,,1
34,12,7,1,1,,1
37,6,3,2,2,2,2
38,8,3,1,2,,2
42,11,4,1,2,,1
43,11,5,2,2,,1
44,11,5,2,1,,1
46,,,,,2,2
50,9,3,2,2,,2
51,9,5,3,3,,2
52,6,3,2,2,,2
53,9,3,2,2,,2
60,8,4,3,3,,2
62,6,4,3,3,6,2
63,6,3,3,3,,2
64,6,3,1,1,,2
65,9,3,2,3,,2
67,8,5,2,2,,2
68,6,2,2,2,,2
69,5,2,3,3,,2
71,7,4,3,3,,2
72,8,3,2,2,,2
73,9,4,3,3,,2
74,9,5,3,3,,2
76,5,3,3,3,,2
77,8,2,3,3,,2
80,8,3,2,2,2,2
84,8,3,2,3,,2
85,9,2,3,3,,2
88,9,3,1,2,4,2
89,5,2,1,2,,2
90,6,2,3,3,,2
93,5,1,3,2,,2
95,5,2,2,3,,2
96,6,3,3,3,,2
97,8,2,3,3,,2
99,7,3,3,3,,2
100,6,3,3,3,,2
105,8,2,3,1,,2
108,7,2,3,2,3,2
109,5,1,,,,2
110,7,1,,,,2
112,9,2,,,,2
113,11,3,,,,2
115,5,1,,,,2
