,f1,f2,f3,f4,f5,target
1,,,,,2,1
2,,,,,2,1
3,11,4,2,2,,1
4,12,4,1,2,,1
5,12,5,2,2,,1
6,12,5,2,2,2,1
7,12,4,1,1,,1
8,11,4,1,1,2,1
10,12,4,1,1,,1
12,12,4,1,1,,1
13,11,4,1,1,,1
14,12,5,2,2,,1
15,11,4,2,2,,1
16,11,5,1,1,2,1
17,12,5,2,2,,1
18,11,5,1,2,,1
19,11,5,2,2,,1
21,11,5,2,2,,1
22,11,5,2,2,,1
23,11,5,2,2,,1
24,11,6,2,2,,1
25,11,6,2,2,,1
29,11,6,1,1,2,1
30,11,5,2,2,,1
32,,,,,2,1
33,10,6,1,2,,1
34,11,6,2,2,2,1
37,10,5,2,2,,1
38,9,5,3,3,,2
39,11,6,2,2,,1
40,12,6,2,2,,1
41,10,6,2,3,,1
42,11,6,1,1,,1
43,11,6,2,2,,1
45,11,6,3,3,,1
46,11,6,3,3,,1
47,11,5,1,2,,1
48,10,6,2,2,,2
49,11,7,3,3,,1
50,11,7,2,3,,1
51,11,7,3,3,,1
52,10,7,3,3,,2
55,10,6,3,3,,2
56,10,7,3,3,,2
57,10,7,3,3,,2
59,11,6,2,2,,1
60,9,7,3,3,,2
62,11,6,3,3,3,1
66,10,6,2,2,,2
67,9,6,3,3,,2
68,9,6,3,3,,2
69,9,6,3,3,,2
70,9,5,3,3,,2
71,9,6,2,3,3,2
72,9,5,3,3,,2
74,,,,,,2
75,10,5,3,3,,2
77,9,6,3,3,3,2
78,11,5,3,3,,2
79,9,4,3,3,,2
83,,,,,2,1
84,12,5,1,1,,1
85,12,5,2,2,,1
86,11,5,1,1,,1
88,11,5,1,1,,1
90,11,5,1,1,,1
91,12,5,1,1,,1
95,8,4,1,1,,2
104,10,4,2,1,,2
105,,,,,3,2
105,,,,,,2
107,7,3,1,1,,2
108,10,3,2,2,,2
110,7,3,2,2,,2
112,8,4,3,3,,2
115,8,4,2,2,,2
116,10,5,2,2,3,2
118,8,3,1,1,,2
122,9,4,2,2,,2
126,9,4,2,2,,2
128,7,3,2,2,,2
131,9,5,2,2,,2
133,9,3,2,2,,2
135,9,4,3,3,,2
136,8,5,3,3,,2
137,10,5,3,3,,2
138,9,4,3,3,,2
139,9,5,3,3,3,2
140,10,5,3,3,,2
143,7,4,3,3,,2
145,7,3,2,2,,2
149,7,2,2,2,,2
150,8,4,3,3,,2
151,8,5,3,3,,2
152,9,5,3,3,5,2
153,8,4,3,3,,2
154,9,5,3,3,3,2
157,8,4,3,3,,2
158,10,4,3,3,4,2
159,10,5,3,3,,2
160,8,4,3,3,3,2
161,11,5,3,3,,2
162,8,4,2,3,,2
