,f1,f2,f3,f4,f5,target
1,9,7,2,2,,1
2,10,6,1,2,,1
3,10,6,1,2,,1
6,10,6,2,2,,1
7,9,4,2,2,,2
8,10,6,1,1,,1
9,9,5,2,2,,2
10,9,5,2,2,,2
11,9,5,2,2,,2
14,7,4,2,2,,2
15,9,4,2,2,,2
17,7,4,2,2,,2
18,8,4,2,3,,2
19,9,4,2,2,,2
20,7,4,2,2,,2
21,8,3,2,2,,2
22,8,5,2,2,,2
23,6,3,2,2,,2
24,9,5,2,3,2,2
26,8,4,2,2,,2
29,7,4,2,2,,2
30,10,5,2,3,,1
31,9,5,2,2,,2
32,6,4,3,3,,2
48,7,4,2,2,,2
50,8,5,2,2,,2
51,8,3,2,2,,2
54,7,4,2,3,,2
55,9,4,2,2,,2
56,8,3,2,3,,2
59,8,4,2,2,,2
65,8,3,3,3,,2
66,7,4,2,2,,2
67,9,4,3,2,,2
68,9,4,2,3,,2
69,8,3,2,2,,2
70,7,4,3,3,,2
71,8,4,3,3,2,2
72,9,4,3,3,,2
73,8,3,2,3,,2
74,8,5,3,3,,2
75,9,4,2,3,2,2
77,9,4,2,3,,2
78,8,3,3,3,,2
79,8,4,3,3,,2
80,7,3,3,3,,2
85,8,3,3,3,,2
86,8,4,3,3,,2
87,8,4,3,3,,2
88,8,3,3,3,,2
89,8,3,3,2,,2
92,8,3,3,3,,2
93,7,3,2,3,,2
94,6,2,2,2,,2
95,8,3,3,3,,2
96,8,3,3,3,,2
97,7,3,3,2,,2
98,7,4,3,3,,2
99,9,3,3,3,,2
100,8,3,3,3,,2
102,7,3,3,3,,2
103,6,3,2,2,,2
104,7,4,2,2,,2
105,7,2,2,3,,2
107,8,3,3,3,,2
108,7,3,2,3,,2
111,6,3,2,2,,2
112,6,3,3,3,,2
113,6,3,3,3,,2
114,8,4,3,3,,2
116,6,3,3,3,,2
117,8,3,2,2,,2
118,7,3,2,3,,2
119,8,3,3,2,,2
120,8,4,3,2,,2
121,9,3,3,3,,2
122,8,3,3,3,,2
123,8,3,2,2,,2
124,7,3,3,3,,2
125,8,3,2,2,,2
126,8,4,3,3,,2
127,8,3,2,2,,2
128,9,4,3,3,,2
129,8,4,2,2,,2
130,9,4,2,3,,2
131,8,4,3,3,,2
132,9,4,3,3,,2
136,7,3,3,3,,2
139,9,5,2,3,,2
140,7,4,2,2,,2
142,9,5,3,3,,2
143,6,2,3,3,,2
144,9,3,3,2,,2
145,7,3,3,2,,2
146,8,4,3,2,,2
147,8,3,3,3,,2
147,8,3,3,3,,2
149,8,3,3,3,,2
150,8,3,3,3,,2
151,9,3,3,3,,2
152,8,4,3,2,,2
158,8,4,2,3,,2
160,8,3,2,2,,2
161,9,3,3,3,,2
163,5,3,3,2,,2
164,8,4,3,3,,2
165,7,4,3,3,,2
167,8,4,3,3,,2
169,5,3,3,3,,2
170,9,4,3,3,,2
171,8,4,2,3,,2
172,9,4,3,3,,2
175,10,4,2,3,,2
176,8,3,3,3,,2
177,7,4,2,2,6,2
179,8,4,3,3,,2
180,7,3,3,3,,2
181,6,3,3,3,,2
182,6,4,3,3,,2
183,8,4,3,3,,2
184,6,4,3,3,2,2
185,9,4,3,3,2,2
186,9,5,3,3,2,2
187,8,4,,,3,2
188,8,5,,,4,2
189,9,4,,,2,2
