,f1,f2,f3,f4,f5,target
1,10,2,2,2,,1
3,,,,,2,1
5,,,,,2,1
6,10,2,2,2,,1
7,10,2,1,1,,1
10,10,2,1,1,2,1
11,11,2,1,1,,1
12,10,2,1,2,,1
13,10,2,2,2,,1
14,10,3,2,2,,1
15,11,3,1,1,2,1
18,10,2,2,2,,1
21,10,2,1,1,2,1
25,6,1,2,2,,2
26,11,2,1,1,2,1
27,10,2,2,2,,1
28,11,3,2,2,,1
33,11,2,1,1,,1
34,11,2,2,2,,1
35,10,2,2,2,,1
36,,,,,2,2
49,,,,,2,2
52,9,3,2,2,,2
54,,,,,,2
64,8,2,2,2,,2
65,7,2,2,1,,2
69,7,1,2,2,,2
70,8,2,1,2,,2
73,8,2,2,2,2,2
77,8,2,2,2,,2
81,6,1,2,2,,2
82,,,,,2,2
83,9,2,2,3,,2
84,8,2,3,2,,2
87,8,2,2,2,2,2
88,7,2,2,3,,2
91,,,,,2,2
93,8,2,3,3,,2
95,6,2,1,2,,2
97,8,2,2,1,,2
98,8,2,2,2,,2
100,8,3,2,2,,2
101,8,2,2,2,,2
102,8,2,2,2,,2
110,,,,,3,2
111,8,2,2,2,,2
114,,,,,3,2
115,6,2,2,2,,2
116,,,,,,2
120,8,1,3,3,,2
124,8,2,3,3,2,2
125,9,2,3,3,,2
129,9,2,3,3,,2
